URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-12-flat-rivet-buster,110-4600,Air Compressors & Air Tools,Air Tool Accessories,$15 ,$30 ,$59 ,$15.00 ,$165.00 ,$165.00 ,,$13.96 ,$358.96 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-2,110-4126,Air Compressors & Air Tools,Air Tool Accessories,$1 ,$4 ,$7 ,$1.00 ,$165.00 ,$165.00 ,,$12.87 ,$343.87 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-3,110-4155,Air Compressors & Air Tools,Air Tool Accessories,$14 ,$25 ,$47 ,$14.00 ,$165.00 ,$165.00 ,,$13.89 ,$357.89 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-3-0,110-4167,Air Compressors & Air Tools,Air Tool Accessories,$8 ,$21 ,$43 ,$8.00 ,$165.00 ,$165.00 ,,$13.41 ,$351.41 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-3-4-14,110-4140,Air Compressors & Air Tools,Air Tool Accessories,$8 ,$24 ,$48 ,$8.00 ,$165.00 ,$165.00 ,,$13.41 ,$351.41 
,,,,,,,,,,,,
